ccode,statename,year,polity2,leadertransition,totaltransitions,wars,totalwaryears
2,United States of America,1816,9,,0,0,0
2,United States of America,1817,9,,0,0,0
2,United States of America,1818,9,,0,0,0
2,United States of America,1819,9,,0,0,0
2,United States of America,1820,9,,0,0,0
2,United States of America,1821,9,,0,0,0
2,United States of America,1822,9,,0,0,0
2,United States of America,1823,9,,0,0,0
2,United States of America,1824,9,,0,0,0
2,United States of America,1825,9,,0,0,0
2,United States of America,1826,9,,0,0,0
2,United States of America,1827,9,,0,0,0
2,United States of America,1828,9,,0,0,0
2,United States of America,1829,9,,0,0,0
2,United States of America,1830,9,,0,0,0
2,United States of America,1831,9,,0,0,0
2,United States of America,1832,9,,0,0,0
2,United States of America,1833,9,,0,0,0
2,United States of America,1834,9,,0,0,0
2,United States of America,1835,9,,0,0,0
2,United States of America,1836,9,,0,0,0
2,United States of America,1837,9,,0,0,0
2,United States of America,1838,9,,0,0,0
2,United States of America,1839,9,,0,0,0
2,United States of America,1840,9,,0,0,0
2,United States of America,1841,9,,0,0,0
2,United States of America,1842,9,,0,0,0
2,United States of America,1843,9,,0,0,0
2,United States of America,1844,9,,0,0,0
2,United States of America,1845,10,,0,0,0
2,United States of America,1846,10,,0,1,1
2,United States of America,1847,10,,0,1,2
2,United States of America,1848,10,,0,0,2
2,United States of America,1849,10,,0,0,2
2,United States of America,1850,9,,0,0,2
2,United States of America,1851,9,,0,0,2
2,United States of America,1852,9,,0,0,2
2,United States of America,1853,9,,0,0,2
2,United States of America,1854,8,,0,0,2
2,United States of America,1855,8,,0,0,2
2,United States of America,1856,8,,0,0,2
2,United States of America,1857,8,,0,0,2
2,United States of America,1858,8,,0,0,2
2,United States of America,1859,8,,0,0,2
2,United States of America,1860,8,,0,0,2
2,United States of America,1861,8,,0,0,2
2,United States of America,1862,8,,0,0,2
2,United States of America,1863,8,,0,0,2
2,United States of America,1864,8,,0,0,2
2,United States of America,1865,8,,0,0,2
2,United States of America,1866,8,,0,0,2
2,United States of America,1867,8,,0,0,2
2,United States of America,1868,8,,0,0,2
2,United States of America,1869,8,,0,0,2
2,United States of America,1870,8,0,0,0,2
2,United States of America,1871,10,0,0,0,2
2,United States of America,1872,10,0,0,0,2
2,United States of America,1873,10,0,0,0,2
2,United States of America,1874,10,0,0,0,2
2,United States of America,1875,10,0,0,0,2
2,United States of America,1876,10,0,0,0,2
2,United States of America,1877,10,1,1,0,2
2,United States of America,1878,10,0,1,0,2
2,United States of America,1879,10,0,1,0,2
2,United States of America,1880,10,0,1,0,2
2,United States of America,1881,10,1,2,0,2
2,United States of America,1882,10,0,2,0,2
2,United States of America,1883,10,0,2,0,2
2,United States of America,1884,10,0,2,0,2
2,United States of America,1885,10,1,3,0,2
2,United States of America,1886,10,0,3,0,2
2,United States of America,1887,10,0,3,0,2
2,United States of America,1888,10,0,3,0,2
2,United States of America,1889,10,1,4,0,2
2,United States of America,1890,10,0,4,0,2
2,United States of America,1891,10,0,4,0,2
